"Overledenen; geslacht en leeftijd, per week"
""
""
"Topic";"Overledenen";"Overledenen";"Overledenen";"Overledenen"
"Age (on December 31)";"Total age";"0 to 65 years";"65 to 80 years";"80 years or older"
"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women"
"Periods";"number";"number";"number";"number"
"2000 week 24";"2452";"480";"821";"1151"
"2000 week 25";"2969";"598";"955";"1416"
"2000 week 26";"2632";"522";"888";"1222"
"2000 week 27";"2572";"472";"913";"1187"
"2000 week 28";"2469";"535";"870";"1064"
"2000 week 29";"2456";"493";"836";"1127"
"2000 week 30";"2505";"466";"928";"1111"
"2000 week 31";"2532";"541";"828";"1163"
"2000 week 32";"2488";"510";"825";"1153"
"2000 week 33";"2539";"474";"880";"1185"
"2000 week 34";"2416";"503";"812";"1101"
"2000 week 35";"2391";"511";"836";"1044"
"2000 week 36";"2506";"512";"853";"1141"
"2000 week 37";"2517";"522";"844";"1151"
"2000 week 38";"2501";"533";"884";"1084"
"2000 week 39";"2479";"466";"879";"1134"
"2000 week 40";"2578";"540";"892";"1146"
"2000 week 41";"2539";"505";"916";"1118"
"2000 week 42";"2571";"520";"894";"1157"
"2000 week 43";"2734";"560";"973";"1201"
"2000 week 44";"2652";"528";"944";"1180"
"2000 week 45";"2572";"511";"889";"1172"
"2000 week 46";"2644";"529";"918";"1197"
"2000 week 47";"2689";"527";"920";"1242"
"2000 week 48";"2773";"530";"995";"1248"
"2000 week 49";"2618";"468";"959";"1191"
"2000 week 50";"2737";"515";"978";"1244"
"2000 week 51";"2855";"547";"991";"1317"
"2000 week 52";"2929";"533";"1011";"1385"
"2000";"140527";"26711";"47591";"66225"
"2001 week 1";"3051";"514";"987";"1550"
"2001 week 2";"2852";"518";"889";"1445"
"2001 week 3";"2907";"525";"896";"1486"
"2001 week 4";"3031";"537";"978";"1516"
"2001 week 5";"2928";"512";"977";"1439"
"2001 week 6";"2861";"486";"964";"1411"
"2001 week 7";"2761";"520";"918";"1323"
"2001 week 8";"2685";"475";"892";"1318"
"2001 week 9";"2749";"507";"928";"1314"
"2001 week 10";"2896";"513";"998";"1385"
"2001 week 11";"2812";"519";"968";"1325"
"2001 week 12";"2837";"541";"888";"1408"
"2001 week 13";"2774";"535";"905";"1334"
"2001 week 14";"2794";"507";"937";"1350"
"2001 week 15";"2752";"481";"905";"1366"
"2001 week 16";"2590";"498";"873";"1219"
"2001 week 17";"2712";"526";"908";"1278"
"2001 week 18";"2685";"495";"915";"1275"
"2001 week 19";"2739";"509";"893";"1337"
"2001 week 20";"2759";"542";"902";"1315"
"2001 week 21";"2674";"511";"901";"1262"
"2001 week 22";"2722";"488";"931";"1303"
"2001 week 23";"2581";"475";"880";"1226"
"2001 week 24";"2721";"509";"914";"1298"
"2001 week 25";"2585";"508";"871";"1206"
"2001 week 26";"2683";"483";"913";"1287"
"2001 week 27";"2751";"466";"909";"1376"
"2001 week 28";"2475";"447";"819";"1209"
"2001 week 29";"2405";"473";"774";"1158"
"2001 week 30";"2519";"519";"848";"1152"
"2001 week 31";"2438";"502";"837";"1099"
"2001 week 32";"2450";"507";"808";"1135"
"2001 week 33";"2511";"520";"801";"1190"
"2001 week 34";"2648";"496";"914";"1238"
"2001 week 35";"2441";"476";"795";"1170"
"2001 week 36";"2482";"534";"806";"1142"
"2001 week 37";"2403";"473";"808";"1122"
"2001 week 38";"2577";"538";"880";"1159"
"2001 week 39";"2588";"555";"879";"1154"
"2001 week 40";"2607";"509";"868";"1230"
"2001 week 41";"2567";"479";"926";"1162"
"2001 week 42";"2701";"534";"969";"1198"
"2001 week 43";"2568";"553";"821";"1194"
"2001 week 44";"2519";"507";"837";"1175"
"2001 week 45";"2535";"474";"862";"1199"
"2001 week 46";"2674";"520";"928";"1226"
"2001 week 47";"2749";"549";"963";"1237"
"2001 week 48";"2757";"544";"980";"1233"
"2001 week 49";"2768";"537";"976";"1255"
"2001 week 50";"2797";"551";"968";"1278"
"2001 week 51";"2982";"563";"1063";"1356"
"2001 week 52";"2900";"532";"944";"1424"
"2001 week 53 (1 dag)";"424";"75";"155";"194"
"2001";"140377";"26667";"47069";"66641"
"2002 week 1 (6 dagen)";"2522";"440";"800";"1282"
"2002 week 2";"3145";"531";"1001";"1613"
"2002 week 3";"3032";"499";"989";"1544"
"2002 week 4";"3079";"554";"944";"1581"
"2002 week 5";"2938";"524";"913";"1501"
"2002 week 6";"2859";"520";"912";"1427"
"2002 week 7";"2778";"505";"884";"1389"
"2002 week 8";"2957";"523";"930";"1504"
"2002 week 9";"3231";"533";"1112";"1586"
"2002 week 10";"3015";"500";"999";"1516"
"2002 week 11";"3088";"532";"956";"1600"
"2002 week 12";"2938";"555";"917";"1466"
"2002 week 13";"2903";"514";"951";"1438"
"2002 week 14";"2795";"466";"910";"1419"
